600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600519.SH,600547.SH,600570.SH
900,0,0,0,0,-400,0,1000,0,0,0,0,0,0,0
1000,0,0,0,0,-1000,0,-1000,0,0,0,0,0,0,0
-300,0,100,0,0,-1000,0,400,0,0,0,0,0,0,0
-800,0,-100,0,0,-1000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-900,0,-200,0,0,0,0,0,0,0
-200,0,0,0,0,1000,0,800,0,0,0,0,0,0,0
-800,0,400,0,0,1000,0,-600,0,0,0,0,0,0,0
-800,0,300,0,0,-1000,0,1000,0,0,0,0,0,0,0
-800,0,-700,0,0,-300,0,1000,0,0,0,0,0,0,0
400,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0
100,0,400,0,100,0,0,-1000,0,0,0,0,0,0,0
400,0,-400,0,-100,1000,0,1000,0,0,0,0,0,0,0
200,0,200,0,500,-800,0,600,0,0,0,0,0,0,400
300,0,-200,0,-500,900,0,-500,0,0,0,0,0,0,-400
500,0,0,0,0,-800,0,1000,0,0,0,0,0,0,0
800,0,800,0,0,-200,0,-1000,0,0,0,0,0,0,0
600,0,-800,0,0,-600,500,-1000,0,0,0,0,0,0,0
1000,0,400,0,0,-1000,-500,-100,0,0,0,600,0,0,0
-1000,0,-400,0,0,-1000,0,-1000,0,0,0,-100,0,0,0
100,0,0,0,0,-1000,0,1000,0,0,0,-500,0,0,0
200,0,0,0,0,200,0,1000,0,0,0,0,0,0,0
-800,0,600,0,0,600,0,1000,0,0,0,0,0,0,0
